stock_id,name,sector,risk_profile
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,Sedang
BAYU,Bayu Buana Tbk,Consumer Cyclicals,Sedang
BBCA,Bank Central Asia Tbk.,Financials,Rendah
BBHI,Allo Bank Indonesia Tbk.,Financials,Tinggi
BBKP,Bank KB Bukopin Tbk.,Financials,Sedang
BBLD,Buana Finance Tbk.,Financials,Sedang
BBMD,Bank Mestika Dharma Tbk.,Financials,Sedang
BBNI,Bank Negara Indonesia (Persero,Financials,Sedang
BBRI,Bank Rakyat Indonesia (Persero,Financials,Sedang
BBRM,Pelayaran Nasional Bina Buana ,Energy,Tinggi
BBSI,Krom Bank Indonesia Tbk.,Financials,Sedang
BBSS,Bumi Benowo Sukses Sejahtera T,Properties and Real Estate,Tinggi
BBTN,Bank Tabungan Negara (Persero),Financials,Sedang
BBYB,Bank Neo Commerce Tbk.,Financials,Tinggi
BCAP,MNC Kapital Indonesia Tbk.,Financials,Tinggi
BCIC,Bank JTrust Indonesia Tbk.,Financials,Sedang
BCIP,Bumi Citra Permai Tbk.,Properties and Real Estate,Sedang
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastructures,Tinggi
BDMN,Bank Danamon Indonesia Tbk.,Financials,Sedang
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,Tinggi
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals,Sedang
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals,Sedang
BEKS,Bank Pembangunan Daerah Banten,Financials,Sedang
BELI,Global Digital Niaga Tbk.,Technology,Rendah
BELL,Trisula Textile Industries Tbk,Consumer Cyclicals,Sedang
BESS,Batulicin Nusantara Maritim Tb,Energy,Sedang
BEST,Bekasi Fajar Industrial Estate,Properties and Real Estate,Sedang
BFIN,BFI Finance  Indonesia Tbk.,Financials,Sedang
BGTG,Bank Ganesha Tbk.,Financials,Tinggi
BHAT,Bhakti Multi Artha Tbk.,Financials,Sedang
BHIT,MNC Asia Holding Tbk.,Industrials,Sedang
BIKA,Binakarya Jaya Abadi Tbk.,Properties and Real Estate,Tinggi
BIKE,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals,Sedang
BIMA,Primarindo Asia Infrastructure,Consumer Cyclicals,Tinggi
BINA,Bank Ina Perdana Tbk.,Financials,Sedang
BINO,Perma Plasindo Tbk.,Industrials,Sedang
BIPI,Astrindo Nusantara Infrastrukt,Energy,Sedang
BIPP,Bhuwanatala Indah Permai Tbk.,Properties and Real Estate,Sedang
BIRD,Blue Bird Tbk.,Transportation and Logistic,Sedang
BISI,BISI International Tbk.,Consumer Non-Cyclicals,Sedang
BJBR,Bank Pembangunan Daerah Jawa B,Financials,Rendah
BJTM,Bank Pembangunan Daerah Jawa T,Financials,Rendah
BKDP,Bukit Darmo Property Tbk,Properties and Real Estate,Sedang
BKSL,Sentul City Tbk.,Properties and Real Estate,Sedang
BKSW,Bank QNB Indonesia Tbk.,Financials,Tinggi
BLES,Superior Prima Sukses Tbk.,Basic Materials,Sedang
BLTA,Berlian Laju Tanker Tbk,Transportation and Logistic,Sedang
BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals,Sedang
BLUE,Berkah Prima Perkasa Tbk.,Industrials,Sedang
BMAS,Bank Maspion Indonesia Tbk.,Financials,Tinggi
BMBL,Lavender Bina Cendikia Tbk.,Consumer Cyclicals,Tinggi
BMHS,Bundamedik Tbk.,Healthcare,Sedang
BMRI,Bank Mandiri (Persero) Tbk.,Financials,Sedang
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,Tinggi
BMTR,Global Mediacom Tbk.,Consumer Cyclicals,Sedang
BNBA,Bank Bumi Arta Tbk.,Financials,Sedang
BNBR,Bakrie & Brothers Tbk,Industrials,Sedang
BNGA,Bank CIMB Niaga Tbk.,Financials,Sedang
BNII,Bank Maybank Indonesia Tbk.,Financials,Sedang
BNLI,Bank Permata Tbk.,Financials,Sedang
BOAT,Newport Marine Services Tbk.,Energy,Tinggi
BOBA,Formosa Ingredient Factory Tbk,Consumer Non-Cyclicals,Sedang
BOGA,Bintang Oto Global Tbk.,Consumer Cyclicals,Rendah
BOLA,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals,Sedang
BOLT,Garuda Metalindo Tbk.,Consumer Cyclicals,Sedang
