stock_id,name,sector,avg_return_1m,volatility_1m,avg_return_3m,volatility_3m,avg_return_6m,volatility_6m,avg_return_1y,volatility_1y,risk_profile
BUKA,Bukalapak.com Tbk.,Technology,-0.0037,0.0267,0.0009,0.0427,-0.0,0.0364,-0.0016,0.0318,Sedang
BUKK,Bukaka Teknik Utama Tbk.,Infrastructures,-0.0015,0.0202,-0.0014,0.0159,-0.0008,0.0161,-0.0,0.0341,Sedang
BULL,Buana Lintas Lautan Tbk.,Energy,0.0064,0.0313,0.0022,0.0368,0.0021,0.0442,0.0031,0.0599,Sedang
BUMI,Bumi Resources Tbk.,Energy,-0.0064,0.0441,0.0037,0.0495,0.0021,0.0432,0.0002,0.0393,Sedang
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,0.0014,0.0365,0.0023,0.0473,0.0014,0.0386,0.002,0.0498,Sedang
BVIC,Bank Victoria International Tb,Financials,0.0025,0.0489,0.0028,0.0411,0.0053,0.094,0.0014,0.0689,Tinggi
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,-0.0036,0.0297,-0.0001,0.0304,0.0008,0.0284,0.0006,0.0362,Sedang
BYAN,Bayan Resources Tbk.,Energy,0.0009,0.0144,0.0031,0.0143,0.0007,0.0206,0.0005,0.0182,Sedang
CAKK,Cahayaputra Asa Keramik Tbk.,Industrials,-0.0017,0.0184,0.0022,0.0571,0.0033,0.0526,0.0002,0.0474,Tinggi
CAMP,Campina Ice Cream Industry Tbk,Consumer Non-Cyclicals,-0.0106,0.0366,-0.0054,0.0333,-0.0008,0.0768,-0.0002,0.0559,Sedang
CANI,Capitol Nusantara Indonesia Tb,Energy,-0.0024,0.0735,0.0037,0.0876,0.0052,0.0899,-0.0004,0.0872,Tinggi
CARE,Metro Healthcare Indonesia Tbk,Healthcare,0.0017,0.0258,0.0096,0.0332,0.0016,0.0468,-0.0016,0.0702,Sedang
CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals,0.0034,0.0187,0.0013,0.02,-0.0003,0.0301,0.0001,0.0295,Sedang
CASA,Capital Financial Indonesia Tb,Financials,0.0104,0.0283,0.0038,0.032,0.0019,0.0243,0.0002,0.0343,Sedang
CASH,Cashlez Worldwide Indonesia Tb,Technology,-0.0024,0.0303,-0.0015,0.0299,-0.0012,0.0345,0.0006,0.047,Sedang
CASS,Cardig Aero Services Tbk.,Infrastructures,0.0009,0.0265,0.0036,0.0263,0.0041,0.0333,0.0041,0.0359,Sedang
CBDK,Bangun Kosambi Sukses Tbk.,Properties and Real Estate,0.0634,0.1158,0.0634,0.1158,0.0634,0.1158,0.0634,0.1158,Tinggi
CBMF,Cahaya Bintang Medan Tbk.,Consumer Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
CBPE,Citra Buana Prasida Tbk.,Properties and Real Estate,-0.0033,0.0645,-0.0001,0.0474,0.0029,0.0494,0.0019,0.0405,Sedang
CBRE,Cakra Buana Resources Energi T,Energy,0.0216,0.0903,0.006,0.0723,0.0068,0.0796,-0.0008,0.0817,Tinggi
CBUT,Citra Borneo Utama Tbk.,Consumer Non-Cyclicals,0.0137,0.0708,0.0019,0.0464,0.0017,0.0478,-0.0005,0.0549,Tinggi
CCSI,Communication Cable Systems In,Industrials,0.0075,0.0843,0.001,0.0643,-0.0012,0.0516,-0.0015,0.0487,Sedang
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,0.0007,0.0167,0.0001,0.0162,0.0012,0.0184,0.0004,0.0147,Sedang
CENT,Centratama Telekomunikasi Indo,Infrastructures,-0.0048,0.0368,-0.0012,0.0541,0.002,0.0501,-0.0012,0.0538,Sedang
CFIN,Clipan Finance Indonesia Tbk.,Financials,-0.0004,0.0292,-0.0038,0.0216,-0.0029,0.0207,-0.0019,0.0258,Sedang
CGAS,Citra Nusantara Gemilang Tbk.,Energy,-0.003,0.0278,-0.0013,0.0453,-0.0006,0.0638,-0.0016,0.1064,Tinggi
CHEM,Chemstar Indonesia Tbk.,Basic Materials,-0.0043,0.0938,-0.0035,0.0579,0.0009,0.0714,-0.0003,0.0624,Tinggi
CHIP,Pelita Teknologi Global Tbk.,Technology,-0.0058,0.0219,0.0017,0.0204,-0.0023,0.0179,0.0006,0.0297,Tinggi
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,0.0028,0.1019,0.0025,0.0839,0.0034,0.0729,0.0013,0.0628,Sedang
CITA,Cita Mineral Investindo Tbk.,Basic Materials,-0.0037,0.0281,0.0054,0.049,0.0049,0.0445,0.0022,0.0478,Sedang
CITY,Natura City Developments Tbk.,Properties and Real Estate,-0.0136,0.0505,0.0097,0.1222,0.0156,0.1381,0.0103,0.1223,Tinggi
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals,0.0406,0.063,0.0322,0.0752,0.0091,0.0879,0.0099,0.0848,Tinggi
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals,0.0032,0.0252,0.0025,0.0245,0.0031,0.0293,0.003,0.0271,Sedang
CLPI,Colorpak Indonesia Tbk.,Basic Materials,-0.001,0.0083,-0.0006,0.0069,0.0013,0.0175,0.0008,0.0144,Rendah
CMNP,Citra Marga Nusaphala Persada ,Infrastructures,0.0486,0.1021,0.0145,0.0616,0.0072,0.0461,0.0034,0.0347,Sedang
CMNT,Cemindo Gemilang Tbk.,Basic Materials,-0.0058,0.0305,-0.0023,0.0255,-0.0015,0.0231,-0.0,0.0233,Sedang
CMPP,AirAsia Indonesia Tbk.,Transportation and Logistic,0.0092,0.0632,-0.0055,0.0475,0.0032,0.0445,-0.0013,0.0397,Sedang
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals,-0.0037,0.0259,-0.0011,0.0227,0.0002,0.0223,0.0008,0.0245,Sedang
CNKO,Exploitasi Energi Indonesia Tb,Energy,0.0411,0.084,0.0322,0.1258,0.027,0.167,0.008,0.1576,Sedang
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals,-0.0053,0.0279,-0.0042,0.0226,-0.0019,0.0297,-0.0014,0.0359,Sedang
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0365,Tinggi
COAL,Black Diamond Resources Tbk.,Energy,0.0089,0.0646,0.0033,0.0538,-0.0005,0.0611,-0.002,0.0713,Tinggi
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals,-0.006,0.0171,-0.0029,0.0252,-0.004,0.0425,-0.0023,0.0497,Sedang
COWL,Cowell Development Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,-0.0011,0.0176,-0.0001,0.0182,-0.0001,0.018,-0.0,0.0189,Sedang
CPRI,Capri Nusa Satu Properti Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,0.0127,0.148,0.0046,0.0824,0.0027,0.063,0.0023,0.0802,Sedang
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals,-0.0003,0.0102,-0.0002,0.0131,-0.0009,0.0159,0.0007,0.0241,Sedang
CRSN,Carsurin Tbk.,Industrials,0.0058,0.0289,0.0058,0.0938,0.0029,0.0706,0.0014,0.0558,Tinggi
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,0.0001,0.0243,-0.0006,0.0261,-0.0006,0.0275,-0.001,0.0287,Sedang
CSIS,Cahayasakti Investindo Sukses ,Properties and Real Estate,0.0048,0.046,0.009,0.052,0.0052,0.0613,0.0025,0.0529,Tinggi
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,0.0028,0.0232,0.0044,0.025,0.0034,0.0447,0.0013,0.0455,Sedang
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals,-0.0022,0.0234,0.0015,0.0226,0.004,0.0269,0.0014,0.0253,Sedang
CTBN,Citra Tubindo Tbk.,Basic Materials,-0.0179,0.0203,0.0051,0.0776,0.0073,0.0802,0.0046,0.0856,Tinggi
CTRA,Ciputra Development Tbk.,Properties and Real Estate,-0.002,0.0279,-0.003,0.0297,-0.0006,0.0267,0.0001,0.0254,Sedang
CTTH,Citatah Tbk.,Industrials,0.0089,0.05,-0.0013,0.0476,0.0097,0.0658,-0.0026,0.0703,Sedang
CUAN,Petrindo Jaya Kreasi Tbk.,Energy,0.0243,0.0421,0.0068,0.0447,0.0048,0.0435,0.0089,0.0587,Tinggi
CYBR,ITSEC Asia Tbk.,Technology,0.0092,0.0321,0.004,0.0344,0.0024,0.0386,0.0051,0.052,Sedang
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials,0.0042,0.0874,0.0446,0.1166,0.0446,0.1166,0.0446,0.1166,Tinggi
DADA,Diamond Citra Propertindo Tbk.,Properties and Real Estate,0.0425,0.1549,0.013,0.1382,0.0209,0.1609,-0.0019,0.1487,Tinggi
DART,Duta Anggada Realty Tbk.,Properties and Real Estate,-0.0012,0.0906,0.0006,0.0972,0.0085,0.1085,0.0039,0.0891,Sedang
DATA,Remala Abadi Tbk.,Infrastructures,0.03,0.1078,0.0129,0.0686,0.014,0.076,0.014,0.076,Tinggi
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals,0.0175,0.06,0.0099,0.0579,0.0073,0.0514,0.0059,0.0503,Tinggi
DCII,DCI Indonesia Tbk.,Technology,0.0024,0.045,-0.0013,0.0384,0.0026,0.0374,0.002,0.0432,Sedang
DEAL,Dewata Freightinternational Tb,Transportation and Logistic,0.0,0.0,0.0,0.0,0.0,0.0,-0.0406,0.1399,Tinggi
DEFI,Danasupra Erapacific Tbk.,Financials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,-0.0015,0.0208,-0.0002,0.0541,-0.002,0.0421,-0.0015,0.0345,Sedang
DEWA,Darma Henwa Tbk,Energy,-0.0025,0.0374,0.0084,0.0603,0.0052,0.049,0.0036,0.0477,Sedang
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals,0.0037,0.0279,0.0029,0.0258,0.0038,0.0578,0.0034,0.0682,Tinggi
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals,0.0002,0.0212,-0.0005,0.0327,0.0005,0.0326,-0.0009,0.0581,Tinggi
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructures,-0.0036,0.018,-0.0026,0.0148,-0.0011,0.0184,-0.0013,0.029,Sedang
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare,-0.0056,0.0375,-0.0045,0.0463,-0.0023,0.053,0.0011,0.0508,Tinggi
DGWG,Delta Giri Wacana Tbk.,Basic Materials,0.0236,0.0659,0.0236,0.0659,0.0236,0.0659,0.0236,0.0659,Tinggi
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,0.0025,0.0735,0.0008,0.0708,0.0058,0.0816,-0.0047,0.0839,Sedang
DILD,Intiland Development Tbk.,Properties and Real Estate,-0.0037,0.0141,-0.0032,0.0218,-0.0009,0.0241,-0.0013,0.0231,Sedang
DIVA,Distribusi Voucher Nusantara T,Technology,-0.0131,0.0435,0.0023,0.0858,0.0044,0.1011,0.0002,0.1012,Tinggi
DKFT,Central Omega Resources Tbk.,Basic Materials,0.0046,0.0508,0.0093,0.0551,0.0065,0.0458,0.0037,0.039,Sedang
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,0.0016,0.0226,-0.0009,0.018,-0.0016,0.018,-0.0015,0.0139,Rendah
DMAS,Puradelta Lestari Tbk.,Properties and Real Estate,-0.0038,0.0105,-0.0017,0.0112,-0.0007,0.0149,-0.0002,0.0131,Sedang
DMMX,Digital Mediatama Maxima Tbk.,Technology,0.0052,0.0546,0.0094,0.0644,0.0085,0.0618,-0.0005,0.0604,Tinggi
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,0.0056,0.0244,0.0,0.0274,0.0015,0.0298,0.0,0.0199,Sedang
DNAR,Bank Oke Indonesia Tbk.,Financials,-0.0072,0.0382,0.0096,0.1112,0.0039,0.0895,0.0013,0.069,Tinggi
DNET,Indoritel Makmur Internasional,Financials,0.0008,0.0142,-0.0006,0.0132,0.0053,0.0418,0.0031,0.0316,Sedang
DOID,Delta Dunia Makmur Tbk.,Energy,-0.0086,0.0311,-0.0039,0.0333,0.0007,0.0321,0.0014,0.0332,Sedang
DOOH,Era Media Sejahtera Tbk.,Consumer Cyclicals,0.0385,0.1223,0.0163,0.0857,0.0072,0.0637,0.006,0.0844,Tinggi
DOSS,Global Sukses Digital Tbk.,Consumer Cyclicals,-0.0127,0.0732,0.0012,0.0791,0.0023,0.0814,0.0023,0.0814,Tinggi
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,-0.0116,0.04,-0.0045,0.0256,-0.003,0.0236,-0.0014,0.0251,Sedang
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,0.0035,0.1061,0.0061,0.0991,0.0166,0.0841,0.0055,0.0767,Sedang
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals,-0.0017,0.0182,-0.0018,0.0186,0.0006,0.023,-0.001,0.0294,Sedang
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,0.0045,0.0725,0.0023,0.0572,0.0021,0.0487,-0.0005,0.039,Sedang
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,-0.0085,0.0442,0.0028,0.0433,0.0037,0.0367,0.002,0.0326,Sedang
DSSA,Dian Swastatika Sentosa Tbk,Energy,0.0051,0.0322,0.0009,0.0279,0.0083,0.0372,0.0101,0.0468,Sedang
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
DUTI,Duta Pertiwi Tbk,Properties and Real Estate,-0.0127,0.0473,0.0008,0.0448,-0.0006,0.0457,-0.0001,0.0345,Sedang
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare,0.0011,0.019,0.0004,0.0159,0.0013,0.0148,-0.0001,0.0167,Rendah
DWGL,Dwi Guna Laksana Tbk.,Energy,-0.0257,0.0795,0.0109,0.1082,0.0052,0.0814,0.0018,0.0628,Tinggi
DYAN,Dyandra Media International Tb,Industrials,0.0002,0.0202,-0.0029,0.0308,0.0012,0.0393,-0.0002,0.0379,Sedang
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals,0.0001,0.0128,-0.0009,0.0228,-0.0006,0.0185,-0.0001,0.0238,Sedang
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,-0.0116,0.0804,0.0026,0.0967,0.0009,0.0737,-0.0005,0.0584,Sedang
EDGE,Indointernet Tbk.,Technology,-0.0013,0.022,-0.0039,0.0227,-0.0002,0.0348,0.0014,0.0562,Sedang
EKAD,Ekadharma International Tbk.,Basic Materials,-0.0019,0.0131,-0.0015,0.0116,-0.0004,0.0166,-0.0008,0.0145,Rendah
ELIT,Data Sinergitama Jaya Tbk.,Technology,0.003,0.0417,0.0027,0.0373,0.0031,0.0384,0.0012,0.0473,Tinggi
ELPI,Pelayaran Nasional Ekalya Purn,Transportation and Logistic,-0.0047,0.0117,0.0005,0.0198,0.0016,0.0183,0.0019,0.0268,Sedang
ELSA,Elnusa Tbk.,Energy,-0.0028,0.0125,-0.001,0.018,0.0008,0.0206,0.0008,0.0207,Sedang
ELTY,Bakrieland Development Tbk.,Properties and Real Estate,0.0043,0.0954,0.0004,0.0819,0.0089,0.1052,-0.0051,0.1069,Sedang
EMDE,Megapolitan Developments Tbk.,Properties and Real Estate,-0.006,0.0329,-0.0012,0.0838,0.0056,0.1019,0.0028,0.0817,Sedang
EMTK,Elang Mahkota Teknologi Tbk.,Technology,-0.0021,0.0431,0.0042,0.0409,0.0024,0.0361,-0.0004,0.0326,Sedang
ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,0.0234,0.1259,0.0015,0.0884,0.0003,0.0714,-0.0008,0.0585,Sedang
ENRG,Energi Mega Persada Tbk.,Energy,-0.0035,0.0412,0.0021,0.0466,0.001,0.0379,0.0003,0.0358,Sedang
ENVY,Envy Technologies Indonesia Tb,Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,-0.0014,0.0608,-0.0044,0.0529,0.0021,0.0604,-0.0002,0.0757,Sedang
EPAC,Megalestari Epack Sentosaraya ,Basic Materials,-0.004,0.1075,0.0018,0.1145,0.0132,0.1196,0.0038,0.1219,Tinggi
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,-0.0015,0.018,-0.0009,0.0145,0.0009,0.0159,-0.0006,0.0136,Sedang
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,-0.0028,0.0271,-0.0013,0.0262,0.0005,0.0262,-0.0001,0.0286,Sedang
ERAL,Sinar Eka Selaras Tbk.,Consumer Cyclicals,-0.0042,0.0425,0.0002,0.0353,0.0017,0.0371,-0.0008,0.0327,Sedang
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,-0.001,0.0269,0.0025,0.0884,-0.0026,0.0816,0.0007,0.0721,Tinggi
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,0.0047,0.0699,-0.0069,0.0615,0.0018,0.0599,-0.0043,0.0589,Tinggi
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials,0.0021,0.0287,0.0009,0.0287,0.001,0.0306,0.0015,0.0339,Sedang
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals,0.001,0.031,-0.0033,0.0288,0.0009,0.0406,0.0008,0.0404,Tinggi
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,-0.0073,0.0358,0.0,0.0438,0.0057,0.0505,-0.0006,0.0506,Sedang
ETWA,Eterindo Wahanatama Tbk,Basic Materials,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0624,Tinggi
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals,0.0166,0.0822,-0.0037,0.0693,-0.0011,0.0685,0.0012,0.0669,Tinggi
EXCL,XL Axiata Tbk.,Infrastructures,-0.0005,0.011,0.0001,0.0122,-0.0002,0.0164,0.0006,0.0208,Sedang
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals,0.0005,0.0051,0.0005,0.0051,0.0003,0.005,0.0004,0.0061,Rendah
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,-0.0046,0.0366,-0.0059,0.031,-0.0062,0.0304,-0.0033,0.0312,Sedang
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,0.0184,0.0987,-0.0001,0.0759,0.0034,0.0853,0.0011,0.0752,Sedang
FILM,MD Entertainment Tbk.,Consumer Cyclicals,0.0028,0.0238,0.0001,0.0352,-0.0005,0.0333,0.0011,0.0398,Tinggi
FIMP,Fimperkasa Utama Tbk.,Infrastructures,0.0764,0.0532,0.0385,0.0806,0.0113,0.0722,0.0047,0.0644,Sedang
FIRE,Alfa Energi Investama Tbk.,Energy,0.0006,0.0379,-0.0021,0.0561,0.002,0.0635,0.0051,0.092,Tinggi
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,-0.0164,0.0166,0.0084,0.0418,0.0118,0.035,0.0089,0.0353,Sedang
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals,0.0032,0.0158,0.0001,0.0141,-0.014,0.0506,-0.007,0.0406,Tinggi
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,0.0132,0.0862,0.0079,0.08,0.014,0.0843,0.005,0.0838,Tinggi
FMII,Fortune Mate Indonesia Tbk,Properties and Real Estate,-0.0972,,0.0202,0.119,0.013,0.0901,0.0047,0.0794,Tinggi
FOLK,Multi Garam Utama Tbk.,Industrials,0.0,0.0,0.0009,0.0878,-0.0023,0.0548,-0.0021,0.0719,Tinggi
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals,-0.0003,0.0157,-0.0001,0.0198,0.0004,0.0369,0.0018,0.0451,Tinggi
FORU,Fortune Indonesia Tbk,Consumer Cyclicals,-0.0059,0.0776,0.0018,0.094,0.0185,0.1013,0.0164,0.0849,Tinggi
FORZ,Forza Land Indonesia Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,-0.0003,0.0136,0.0006,0.028,0.0006,0.0271,-0.0,0.0235,Tinggi
FREN,Smartfren Telecom Tbk.,Infrastructures,-0.0106,0.0484,-0.0053,0.044,-0.0058,0.0578,-0.0039,0.0485,Sedang
FUJI,Fuji Finance Indonesia Tbk.,Financials,-0.0,0.0482,0.0087,0.0697,0.0038,0.0663,0.0018,0.0555,Tinggi
FUTR,Lini Imaji Kreasi Ekosistem Tb,Consumer Cyclicals,-0.0158,0.0954,0.0125,0.1055,0.0118,0.1062,0.0122,0.1163,Tinggi
FWCT,Wijaya Cahaya Timber Tbk.,Basic Materials,0.002,0.0238,0.0068,0.0609,0.0026,0.0705,0.0062,0.0727,Tinggi
GAMA,Aksara Global Development Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,-0.0062,0.0353,-0.0026,0.042,0.001,0.0402,-0.0003,0.0399,Tinggi
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,-0.0097,0.043,-0.0038,0.0308,-0.0001,0.0346,-0.0002,0.0308,Sedang
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,-0.0149,0.0305,-0.0062,0.0278,-0.0032,0.0401,-0.0006,0.0549,Sedang
GEMS,Golden Energy Mines Tbk.,Energy,-0.0022,0.0177,-0.0026,0.0278,0.0051,0.0463,0.0032,0.0364,Sedang
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,-0.0057,0.0123,-0.0039,0.0166,-0.0026,0.0178,-0.0025,0.0177,Sedang
GGRP,Gunung Raja Paksi Tbk.,Basic Materials,-0.0015,0.0697,0.0025,0.1546,0.0049,0.1138,0.0022,0.0782,Tinggi
GHON,Gihon Telekomunikasi Indonesia,Infrastructures,-0.0011,0.0122,-0.0012,0.0112,-0.0001,0.0218,-0.0001,0.02,Sedang
GIAA,Garuda Indonesia (Persero) Tbk,Transportation and Logistic,-0.0057,0.0253,-0.005,0.0344,-0.001,0.036,0.0003,0.0511,Sedang
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,0.0007,0.0177,-0.0009,0.0246,0.0006,0.0252,0.0014,0.0418,Sedang
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,-0.0878,0.0111,-0.0614,0.0312,-0.0324,0.0545,-0.0046,0.0669,Tinggi
GLVA,Galva Technologies Tbk.,Technology,-0.0005,0.0677,0.0001,0.0413,0.0012,0.0413,-0.001,0.0535,Sedang
GMFI,Garuda Maintenance Facility Ae,Infrastructures,-0.0049,0.0379,-0.0048,0.0379,-0.0011,0.0396,0.0002,0.0488,Sedang
GMTD,Gowa Makassar Tourism Developm,Properties and Real Estate,-0.004,0.0572,-0.0018,0.0462,-0.0004,0.0537,0.0057,0.0578,Sedang
GOLD,Visi Telekomunikasi Infrastruk,Infrastructures,-0.0014,0.0273,0.0004,0.0487,-0.0011,0.0428,0.0002,0.0541,Tinggi
GOLF,Intra Golflink Resorts Tbk.,Consumer Cyclicals,-0.0037,0.012,-0.0011,0.0259,-0.0024,0.0309,-0.0024,0.0309,Sedang
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
GOOD,Garudafood Putra Putri Jaya Tb,Consumer Non-Cyclicals,-0.0001,0.0177,0.0011,0.0265,0.0001,0.0215,-0.0003,0.0173,Rendah
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,0.0017,0.0403,0.0048,0.04,0.003,0.0394,-0.0002,0.0452,Sedang
GPRA,Perdana Gapuraprima Tbk.,Properties and Real Estate,-0.0033,0.0199,-0.002,0.0201,0.0002,0.0243,0.0,0.0241,Sedang
GPSO,Geoprima Solusi Tbk.,Industrials,-0.027,0.1588,0.0255,0.1387,0.0078,0.1036,0.0072,0.0868,Tinggi
GRIA,Ingria Pratama Capitalindo Tbk,Properties and Real Estate,-0.0152,0.0361,-0.0094,0.0541,-0.0017,0.0492,0.0015,0.0603,Tinggi
GRPH,Griptha Putra Persada Tbk.,Consumer Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.1798,Tinggi
GRPM,Graha Prima Mentari Tbk.,Consumer Non-Cyclicals,0.021,0.1084,0.0082,0.0727,0.0063,0.066,0.0017,0.0652,Tinggi
GSMF,Equity Development Investment ,Financials,-0.0051,0.0257,0.0012,0.0328,0.0011,0.0293,-0.0005,0.0386,Tinggi
GTBO,Garda Tujuh Buana Tbk,Energy,-0.0117,0.0255,-0.0057,0.0241,-0.0021,0.0442,0.0024,0.0739,Sedang
GTRA,Grahaprima Suksesmandiri Tbk.,Transportation and Logistic,-0.0063,0.0212,-0.0002,0.0323,0.0004,0.0516,-0.001,0.0718,Tinggi
GTSI,GTS Internasional Tbk.,Energy,0.0165,0.0608,0.0058,0.0509,0.0002,0.0598,-0.0004,0.0498,Sedang
GULA,Aman Agrindo Tbk.,Consumer Non-Cyclicals,0.0026,0.0994,-0.0025,0.0645,-0.0006,0.0592,0.002,0.0585,Tinggi
GUNA,Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals,-0.0049,0.0252,0.0017,0.0377,0.0055,0.0662,0.0055,0.0662,Tinggi
GWSA,Greenwood Sejahtera Tbk.,Consumer Cyclicals,-0.0034,0.0138,-0.0019,0.0159,-0.0006,0.0226,-0.001,0.0203,Sedang
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals,0.0042,0.0489,0.0027,0.0369,0.0029,0.0502,0.0018,0.0559,Sedang
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures,0.0303,0.1272,0.0197,0.1601,0.041,0.2434,0.0324,0.2505,Tinggi
HAIS,Hasnur Internasional Shipping ,Transportation and Logistic,-0.0007,0.0123,0.0002,0.0189,0.0002,0.0182,-0.0002,0.0245,Sedang
HAJJ,Arsy Buana Travelindo Tbk.,Consumer Cyclicals,0.0181,0.0579,0.0005,0.0527,0.0019,0.0478,0.0008,0.049,Tinggi
HALO,Haloni Jane Tbk.,Healthcare,0.0023,0.0592,-0.0029,0.0446,0.0014,0.0481,-0.0012,0.0581,Tinggi
HATM,Habco Trans Maritima Tbk.,Transportation and Logistic,0.0001,0.029,0.0012,0.0313,0.0019,0.0292,0.0021,0.0442,Sedang
HBAT,Minahasa Membangun Hebat Tbk.,Properties and Real Estate,0.0125,0.089,0.01,0.0705,0.0037,0.0621,-0.0012,0.0721,Tinggi
HDFA,Radana Bhaskara Finance Tbk.,Financials,-0.0087,0.0293,-0.0028,0.0348,0.0036,0.0726,0.0011,0.069,Tinggi
HDIT,Hensel Davest Indonesia Tbk.,Technology,0.0225,0.0846,0.0037,0.0778,0.0144,0.0932,-0.0014,0.0928,Tinggi
HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rendah
HEAL,Medikaloka Hermina Tbk.,Healthcare,0.0007,0.0232,0.002,0.023,0.0013,0.0198,0.0003,0.0222,Sedang
