stock_id,name,sector,avg_return_1m,volatility_1m,avg_return_3m,volatility_3m,avg_return_6m,volatility_6m,avg_return_1y,volatility_1y,risk_profile
ANTM,Aneka Tambang Tbk.,Basic Materials,0.0001,0.0267,0.0013,0.0246,0.0003,0.0238,-0.0004,0.022,Sedang
APEX,Apexindo Pratama Duta Tbk.,Energy,-0.0058,0.0204,-0.0036,0.024,-0.0016,0.031,0.0001,0.0515,Tinggi
APIC,Pacific Strategic Financial Tb,Financials,0.0025,0.0087,0.0013,0.0133,0.0002,0.0126,0.0003,0.0159,Rendah
APII,Arita Prima Indonesia Tbk.,Industrials,-0.0023,0.015,-0.0004,0.0175,-0.0003,0.018,-0.0004,0.0167,Sedang
APLI,Asiaplast Industries Tbk.,Basic Materials,0.0017,0.0431,0.0004,0.0415,0.0001,0.0406,0.0014,0.0442,Sedang
APLN,Agung Podomoro Land Tbk.,Properties and Real Estate,-0.0094,0.0287,-0.0044,0.0334,-0.0007,0.0391,-0.0016,0.0323,Sedang
ARCI,Archi Indonesia Tbk.,Basic Materials,-0.0015,0.0176,-0.0011,0.0281,0.0004,0.0531,-0.0,0.0476,Sedang
AREA,Dunia Virtual Online Tbk.,Technology,-0.0008,0.0374,-0.0003,0.0373,0.0051,0.0486,0.0035,0.0564,Tinggi
ARGO,Argo Pantes Tbk,Consumer Cyclicals,-0.0083,0.0399,-0.004,0.0574,0.0017,0.0727,0.0036,0.0585,Sedang
ARII,Atlas Resources Tbk.,Energy,-0.002,0.0293,-0.0056,0.0331,-0.0011,0.0409,0.0019,0.0544,Tinggi
ARKA,Arkha Jayanti Persada Tbk.,Industrials,0.0075,0.0855,0.0049,0.0816,0.0094,0.0977,-0.0014,0.0981,Sedang
ARKO,Arkora Hydro Tbk.,Infrastructures,0.0026,0.0324,0.0014,0.0372,0.0012,0.0391,0.002,0.0387,Sedang
ARMY,Armidian Karyatama Tbk.,Properties and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sedang
ARNA,Arwana Citramulia Tbk.,Industrials,-0.0065,0.0228,-0.001,0.0203,-0.0001,0.0193,-0.0011,0.0201,Rendah
ARTA,Arthavest Tbk,Consumer Cyclicals,0.0,0.0,-0.0014,0.0125,-0.0011,0.0137,0.0017,0.0239,Tinggi
