stock_id,name,sector ,sub_sector 
FMII ,Fortune Mate Indonesia Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
FORU ,Fortune Indonesia Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
FPNI ,Lotte Chemical Titan Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
FREN ,Smartfren Telecom Tbk. ,"Infrastructure, Utilities And Transportation ",Telecommunication 
GAMA ,Gading Development Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
GDST ,Gunawan Dianjaya Steel Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
GDYR ,Goodyear Indonesia Tbk. ,Miscellaneous Industry ,Automotive And Components 
GEMA ,Gema Grahasarana Tbk. ,"Trade, Services & Investment ",Others 
GEMS ,Golden Energy Mines Tbk. ,Mining ,Coal Mining 
GGRM ,Gudang Garam Tbk. ,Consumer Goods Industry ,Tobacco Manufacturers 
GIAA ,Garuda Indonesia (Persero) Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
GJTL ,Gajah Tunggal Tbk. ,Miscellaneous Industry ,Automotive And Components 
GLOB ,Global Teleshop Tbk. ,"Trade, Services & Investment ",Retail Trade 
GMCW ,Grahamas Citrawisata Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
GMTD ,Gowa Makassar Tourism Development Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
GOLD ,Golden Retailindo Tbk. ,"Trade, Services & Investment ",Retail Trade 
GPRA ,Perdana Gapuraprima Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
GREN ,Evergreen Invesco Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
GSMF ,Equity Development Investment Tbk. ,Finance ,Others 
GTBO ,Garda Tujuh Buana Tbk. ,Mining ,Coal Mining 
GWSA ,Greenwood Sejahtera Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
GZCO ,Gozco Plantations Tbk. ,Agriculture ,Plantation 
HADE ,HD Capital Tbk. ,Finance ,Securities Company 
HDFA ,HD Finance Tbk. ,Finance ,Financial Institution 
HDTX ,Panasia Indo Resources Tbk. ,Miscellaneous Industry ,"Textile, Garment "
HERO ,Hero Supermarket Tbk. ,"Trade, Services & Investment ",Retail Trade 
HEXA ,Hexindo Adiperkasa Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
HITS ,Humpuss Intermoda Transportasi Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
HMSP ,HM Sampoerna Tbk. ,Consumer Goods Industry ,Tobacco Manufacturers 
HOME ,Hotel Mandarine Regency Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
HOTL ,Saraswati Griya Lestari Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
HRUM ,Harum Energy Tbk. ,Mining ,Coal Mining 
IATA ,Indonesia Air Transport Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
IBST ,Inti Bangun Sejahtera Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
ICBP ,Indofood CBP Sukses Makmur Tbk. ,Consumer Goods Industry ,Food And Beverages 
ICON ,Island Concepts Indonesia Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
IGAR ,Champion Pacific Indonesia Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
IIKP ,Inti Agri Resources Tbk. ,Agriculture ,Fishery 
IKAI ,Intikeramik Alamasri Industri Tbk. ,Basic Industry and Chemicals ,"Ceramics, Glass, Porcelain "
IKBI ,Sumi Indo Kabel Tbk. ,Miscellaneous Industry ,Cable 
IMAS ,Indomobil Sukses Internasional Tbk. ,Miscellaneous Industry ,Automotive And Components 
IMAT ,PT Indomobil Wahana Trada ,"Infrastructure, Utilities & Transportation ",Transportation 
IMFI ,PT Indomobil Finance Indonesia ,Finance ,Financial Institution 
IMJS ,Indomobil Multi Jasa Tbk. ,Finance ,Financial Institution 
INAF ,Indofarma (Persero) Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
INAI ,Indal Aluminium Industry Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
INCI ,Intanwijaya Internasional Tbk. ,Basic Industry and Chemicals ,Chemicals 
INCO ,Vale Indonesia Tbk. ,Mining ,Metal And Mineral Mining 
INDF ,Indofood Sukses Makmur Tbk. ,Consumer Goods Industry ,Food And Beverages 
INDR ,Indo-Rama Synthetics Tbk. ,Miscellaneous Industry ,"Textile, Garment "
INDS ,Indospring Tbk. ,Miscellaneous Industry ,Automotive And Components 
INDX ,Tanah Laut Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
INDY ,Indika Energy Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
INKP ,Indah Kiat Pulp & Paper Tbk. ,Basic Industry and Chemicals ,Pulp & Paper 
INPC ,Bank Artha Graha Internasional Tbk. ,Finance ,Bank 
INPP ,Indonesian Paradise Property Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
INRU ,Toba Pulp Lestari Tbk. ,Basic Industry and Chemicals ,Pulp & Paper 
INTA ,Intraco Penta Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
INTD ,Inter Delta Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
INTP ,Indocement Tunggal Prakarsa Tbk. ,Basic Industry and Chemicals ,Cement 
INVS ,Inovisi Infracom Tbk. ,"Infrastructure, Utilities And Transportation ",Telecommunication 
IPOL ,Indopoly Swakarsa Industry Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
ISAT ,Indosat Tbk. ,"Infrastructure, Utilities And Transportation ",Telecommunication 
ISSP ,Steel Pipe Industry of Indonesia Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
ITMA ,Sumber Energi Andalan Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
ITMG ,Indo Tambangraya Megah Tbk. ,Mining ,Coal Mining 
ITTG ,Leo Investments Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
JAWA ,Jaya Agra Wattie Tbk. ,Agriculture ,Plantation 
JECC ,Jembo Cable Company Tbk. ,Miscellaneous Industry ,Cable 
JIHD ,Jakarta International Hotels & Dev. Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
