stock_id,name,sector ,sub_sector 
SCPI ,Merck Sharp Dohme Pharma Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
SDMU ,Sidomulyo Selaras Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
SDPC ,Millennium Pharmacon International Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
SDRA ,Bank Himpunan Saudara 1906 Tbk. ,Finance ,Bank 
SGRO ,Sampoerna Agro Tbk. ,Agriculture ,Plantation 
SHID ,Hotel Sahid Jaya International Tbk. ,"Trade, Services & Investment ","Tourism, Restaurant And Hotel"
SIAP ,Sekawan Intipratama Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
SIDO ,Industri Jamu dan Farmasi Sido Muncul Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
SILO ,Siloam International Hospitals Tbk. ,"Trade, Services & Investment ",Healthcare 
SIMA ,Siwani Makmur Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
SIMP ,Salim Ivomas Pratama Tbk. ,Agriculture ,Plantation 
SIPD ,Sierad Produce Tbk. ,Basic Industry and Chemicals ,Animal Feed 
SKBM ,Sekar Bumi Tbk. ,Consumer Goods Industry ,Food And Beverages 
SKLT ,Sekar Laut Tbk. ,Consumer Goods Industry ,Food And Beverages 
SKYB ,Skybee Tbk. ,"Trade, Services & Investment ",Retail Trade 
SMAR ,SMART Tbk. ,Agriculture ,Plantation 
SMBR ,Semen Baturaja (Persero) Tbk. ,Basic Industry and Chemicals ,Cement 
SMCB ,Holcim Indonesia Tbk. ,Basic Industry and Chemicals ,Cement 
SMDM ,Suryamas Dutamakmur Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
SMDR ,Samudera Indonesia Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
SMFP ,PT Sarana Multigriya Finansial (Persero) ,Finance ,Financial Institution 
SMGR ,Semen Indonesia (Persero) Tbk. ,Basic Industry and Chemicals ,Cement 
SMMA ,Sinar Mas Multiartha Tbk. ,Finance ,Others 
SMMF ,PT Sinar Mas Multi Finance ,Finance ,Financial Institution 
SMMT ,Golden Eagle Energy Tbk. ,Mining ,Coal Mining 
SMRA ,Summarecon Agung Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
SMRU ,SMR Utama Tbk. ,Mining ,Metal And Mineral Mining 
SMSM ,Selamat Sempurna Tbk. ,Miscellaneous Industry ,Automotive And Components 
SOBI ,Sorini Agro Asia Corporindo Tbk. ,Basic Industry and Chemicals ,Chemicals 
SOFN ,PT Summit Oto Finance ,Finance ,Financial Institution 
SONA ,Sona Topas Tourism Industry Tbk. ,"Trade, Services & Investment ",Retail Trade 
SPMA ,Suparma Tbk. ,Basic Industry and Chemicals ,Pulp & Paper 
SQBB ,Taisho Pharmaceutical Indonesia Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
SQBI ,Taisho Pharmaceutical Indonesia (PS) Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
SQMI ,Renuka Coalindo Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
SRAJ ,Sejahteraraya Anugrahjaya Tbk. ,"Trade, Services & Investment ",Healthcare 
SRIL ,Sri Rejeki Isman Tbk. ,Miscellaneous Industry ,"Textile, Garment "
SRSN ,Indo Acidatama Tbk. ,Basic Industry and Chemicals ,Chemicals 
SRTG ,Saratoga Investama Sedaya Tbk. ,"Trade, Services & Investment ",Investment Company 
SSIA ,Surya Semesta Internusa Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
SSMM ,PT Sumberdaya Sewatama ,"Infrastructure, Utilities & Transportation ",Energy 
SSMS ,Sawit Sumbermas Sarana Tbk. ,Agriculture ,Plantation 
SSTM ,Sunson Textile Manufacturer Tbk. ,Miscellaneous Industry ,"Textile, Garment "
STAR ,Star Petrochem Tbk. ,Miscellaneous Industry ,"Textile, Garment "
STTP ,Siantar Top Tbk. ,Consumer Goods Industry ,Food And Beverages 
SUGI ,Sugih Energy Tbk. ,"Trade, Services & Investment ",Others 
SULI ,SLJ Global Tbk. ,Basic Industry and Chemicals ,Wood Industries 
SUPR ,Solusi Tunas Pratama Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
TAFS ,PT Toyota Astra Financial Services ,Finance ,Financial Institution 
TALF ,Tunas Alfin Tbk. ,Basic Industry and Chemicals ,Chemicals 
TAXI ,Express Transindo Utama Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
TBIG ,Tower Bersama Infrastructure Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
TBLA ,Tunas Baru Lampung Tbk. ,Agriculture ,Plantation 
TBMS ,Tembaga Mulia Semanan Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
TCID ,Mandom Indonesia Tbk. ,Consumer Goods Industry ,Cosmetics And Household 
TELE ,Tiphone Mobile Indonesia Tbk. ,"Trade, Services & Investment ",Retail Trade 
TFCO ,Tifico Fiber Indonesia Tbk. ,Miscellaneous Industry ,"Textile, Garment "
TGKA ,Tigaraksa Satria Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
TIFA ,Tifa Finance Tbk ,Finance ,Financial Institution 
TINS ,Timah (Persero) Tbk. ,Mining ,Metal And Mineral Mining 
TIRA ,Tira Austenite Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
TIRT ,Tirta Mahakam Resources Tbk. ,Basic Industry and Chemicals ,Wood Industries 
TKGA ,Permata Prima Sakti Tbk. ,"Trade, Services & Investment ",Retail Trade 
TKIM ,Pabrik Kertas Tjiwi Kimia Tbk. ,Basic Industry and Chemicals ,Pulp & Paper 
TLKM ,Telekomunikasi Indonesia (Persero) Tbk. ,"Infrastructure, Utilities And Transportation ",Telecommunication 
TMAS ,Pelayaran Tempuran Emas Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
TMPI ,AGIS Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
TMPO ,Tempo Inti Media Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
TOBA ,Toba Bara Sejahtra Tbk. ,Mining ,Coal Mining 
TOTL ,Total Bangun Persada Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
TOTO ,Surya Toto Indonesia Tbk. ,Basic Industry and Chemicals ,"Ceramics, Glass, Porcelain "
TOWR ,Sarana Menara Nusantara Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
TPIA ,Chandra Asri Petrochemical Tbk. ,Basic Industry and Chemicals ,Chemicals 
TPMA ,Trans Power Marine Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
TPNI ,PT TITAN Petrokimia Nusantara ,Basic Industry And Chemicals ,Chemicals 
TRAC ,PT Serasi Autoraya ,"Infrastructure, Utilities & Transportation ",Transportation 
TRAM ,Trada Maritime Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
TRIL ,Triwira Insanlestari Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
TRIM ,Trimegah Securities Tbk. ,Finance ,Securities Company 
TRIO ,Trikomsel Oke Tbk. ,"Trade, Services & Investment ",Retail Trade 
TRIS ,Trisula International Tbk. ,Miscellaneous Industry ,"Textile, Garment "
TRST ,Trias Sentosa Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
TRUB ,Truba Alam Manunggal Engineering Tbk. ,"Infrastructure, Utilities And Transportation ",Non Building Construction 
TRUS ,Trust Finance Indonesia,Finance ,Financial Institution 
TSPC ,Tempo Scan Pacific Tbk. ,Consumer Goods Industry ,Pharmaceuticals 
TUFI ,PT Mandiri Tunas Finance ,Finance ,Financial Institution 
TURI ,Tunas Ridean Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
ULTJ ,Ultrajaya Milk Industry & Trading Co. Tbk. ,Consumer Goods Industry ,Food And Beverages 
UNIC ,Unggul Indah Cahaya Tbk. ,Basic Industry and Chemicals ,Chemicals 
UNIT ,Nusantara Inti Corpora Tbk. ,Miscellaneous Industry ,"Textile, Garment "
UNSP ,Bakrie Sumatera Plantations Tbk. ,Agriculture ,Plantation 
UNTR ,United Tractors Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
UNTX ,Unitex Tbk. ,Miscellaneous Industry ,"Textile, Garment "
UNVR ,Unilever Indonesia Tbk. ,Consumer Goods Industry ,Cosmetics And Household 
VICO ,Victoria Investama Tbk. ,Finance ,Others 
VIVA ,Visi Media Asia Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
VOKS ,Voksel Electric Tbk. ,Miscellaneous Industry ,Cable 
VRNA ,Verena Multi Finance Tbk. ,Finance ,Financial Institution 
WAPO ,Wahana Pronatural Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
WEHA ,Panorama Transportasi Tbk. ,"Infrastructure, Utilities  And Transportation ",Transportation 
WICO ,Wicaksana Overseas International Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
WIIM ,Wismilak Inti Makmur Tbk. ,Consumer Goods Industry ,Tobacco Manufacturers 
WIKA ,Wijaya Karya (Persero) Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
WINS ,Wintermar Offshore Marine Tbk. ,"Infrastructure, Utilities  And Transportation ",Transportation 
WOMF ,Wahana Ottomitra Multiartha Tbk. ,Finance ,Financial Institution 
WSKT ,Waskita Karya (Persero) Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
YPAS ,Yanaprima Hastapersada Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
YULE ,Yulie Sekurindo Tbk. ,Finance ,Securities Company 
ZBRA ,Zebra Nusantara Tbk. ,"Infrastructure, Utilities  And Transportation ",Transportation 
