timestamp,open,high,low,close,volume
2019-01-01,376,376,376,376,0
2019-01-02,376,376,376,376,0
2019-01-03,376,376,376,376,0
2019-01-04,376,376,376,376,0
2019-01-07,407,407,407,407,3000
2019-01-08,407,407,407,407,2250
2019-01-09,407,407,407,407,0
2019-01-10,407,407,407,407,150
2019-01-11,376,376,376,376,5250
2019-01-14,376,376,376,376,0
2019-01-15,376,376,376,376,0
2019-01-16,376,376,376,376,0
2019-01-17,376,376,376,376,0
2019-01-18,376,376,376,376,0
2019-01-21,376,376,376,376,0
2019-01-22,376,376,376,376,2550
2019-01-23,376,376,376,376,0
2019-01-24,376,376,376,376,0
2019-01-25,376,376,376,376,0
2019-01-28,376,376,376,376,0
2019-01-29,376,376,376,376,0
2019-01-30,376,376,376,376,0
2019-01-31,376,376,376,376,0
2019-02-01,376,376,376,376,0
2019-02-04,376,376,376,376,0
2019-02-05,376,376,376,376,0
2019-02-06,376,376,376,376,0
2019-02-07,376,376,376,376,0
2019-02-08,376,376,376,376,0
2019-02-11,376,376,376,376,0
2019-02-12,376,376,376,376,0
2019-02-13,407,407,407,407,450
2019-02-14,407,407,407,407,0
2019-02-15,407,407,407,407,0
2019-02-18,407,407,407,407,0
2019-02-19,407,407,407,407,0
2019-02-20,407,407,407,407,0
2019-02-21,407,407,407,407,0
2019-02-22,407,407,407,407,0
2019-02-25,407,407,407,407,0
2019-02-26,407,407,407,407,0
2019-02-27,407,407,407,407,0
2019-02-28,407,407,407,407,0
2019-03-01,407,407,407,407,0
2019-03-04,407,407,407,407,150
2019-03-05,407,407,407,407,0
2019-03-06,407,407,407,407,0
2019-03-07,407,407,407,407,0
2019-03-08,407,407,407,407,0
2019-03-11,407,407,407,407,0
2019-03-12,407,407,407,407,0
2019-03-13,407,407,407,407,0
2019-03-14,407,407,407,407,0
2019-03-15,407,407,407,407,0
2019-03-18,407,407,407,407,0
2019-03-19,407,407,407,407,0
2019-03-20,407,407,407,407,0
2019-03-21,407,407,407,407,0
2019-03-22,407,407,407,407,0
2019-03-25,407,407,407,407,0
2019-03-26,407,407,407,407,0
2019-03-27,407,407,407,407,0
2019-03-28,407,407,407,407,0
2019-03-29,407,407,407,407,0
2019-04-01,407,407,407,407,0
2019-04-02,407,407,407,407,0
2019-04-03,407,407,407,407,0
2019-04-04,407,407,407,407,0
2019-04-05,407,407,407,407,0
2019-04-08,407,407,407,407,0
2019-04-09,407,407,407,407,0
2019-04-10,407,407,407,407,0
2019-04-11,407,407,407,407,0
2019-04-12,407,407,407,407,0
